iter	Logloss
0	0.5697161471
1	0.5176605422
2	0.4769231865
3	0.4547754765
4	0.4330639153
5	0.4130161468
6	0.3961490186
7	0.3797204813
8	0.3665335465
9	0.3534542191
10	0.3449868046
11	0.3358947798
12	0.3291449757
13	0.322687544
14	0.3173215188
15	0.3127408835
16	0.3084651205
17	0.3044207058
18	0.3007692754
19	0.29665334
20	0.2938956881
21	0.2899797713
22	0.287019683
23	0.2844262253
24	0.2815592573
25	0.2791816105
26	0.2764150335
27	0.2743433217
28	0.2724293645
29	0.2700806226
30	0.2679202746
31	0.2658201774
32	0.2637136514
33	0.2615436105
34	0.2598557547
35	0.25866687
36	0.2563025755
37	0.254772738
38	0.2530737651
39	0.2515806496
40	0.2499566284
41	0.2481779951
42	0.2469145491
43	0.2458072174
44	0.2448419493
45	0.2434671775
46	0.2423031965
47	0.2407946057
48	0.2393679762
49	0.238163141
50	0.2371921587
51	0.2363348267
52	0.2352163011
53	0.2343501835
54	0.2333073941
55	0.2321921579
56	0.231243716
57	0.2301629635
58	0.2292274523
59	0.2280881072
60	0.227447319
61	0.2266404063
62	0.2255731967
63	0.2248511753
64	0.2243549086
65	0.2236853491
66	0.2218920446
67	0.2210280978
68	0.2205704566
69	0.2202971885
70	0.2190831189
71	0.2178893313
72	0.217625697
73	0.2163703335
74	0.2153977178
75	0.214797879
76	0.2144621013
77	0.2136887864
78	0.2131973132
79	0.2125739174
80	0.2120551194
81	0.2114758435
82	0.2106200719
83	0.2098273916
84	0.2092711281
85	0.2087286459
86	0.2082020692
87	0.2076743943
88	0.2068390345
89	0.2063756271
90	0.2061684793
91	0.2056132633
92	0.2052640079
93	0.2047170915
94	0.204445122
95	0.2041539855
96	0.2039766916
97	0.2033567378
98	0.2024680697
99	0.2018192594
