iter	Passed	Remaining
0	26	2649
1	50	2467
2	72	2350
3	96	2316
4	120	2295
5	143	2246
6	166	2208
7	187	2160
8	210	2127
9	231	2084
10	255	2067
11	282	2068
12	304	2037
13	329	2022
14	351	1992
15	374	1963
16	398	1947
17	421	1921
18	444	1893
19	472	1891
20	494	1860
21	516	1831
22	540	1809
23	567	1798
24	593	1780
25	615	1752
26	643	1739
27	666	1713
28	690	1690
29	713	1663
30	738	1642
31	763	1621
32	787	1597
33	809	1570
34	831	1544
35	854	1518
36	876	1492
37	898	1466
38	920	1440
39	946	1419
40	975	1403
41	1000	1381
42	1023	1356
43	1046	1331
44	1070	1308
45	1094	1284
46	1117	1260
47	1140	1235
48	1173	1221
49	1202	1202
50	1225	1177
51	1248	1152
52	1269	1126
53	1292	1100
54	1314	1075
55	1336	1049
56	1359	1025
57	1381	1000
58	1409	979
59	1436	957
60	1458	932
61	1481	907
62	1502	882
63	1524	857
64	1548	833
65	1572	809
66	1598	787
67	1630	767
68	1653	742
69	1676	718
70	1700	694
71	1722	670
72	1744	645
73	1766	620
74	1789	596
75	1816	573
76	1843	550
77	1866	526
78	1888	502
79	1911	477
80	1935	454
81	1960	430
82	1984	406
83	2008	382
84	2049	361
85	2073	337
86	2098	313
87	2121	289
88	2146	265
89	2170	241
90	2194	217
91	2218	192
92	2243	168
93	2272	145
94	2308	121
95	2343	97
96	2380	73
97	2415	49
98	2448	24
99	2484	0
